Año,Inicio,Fin,Duracion,Anomalia,TMax,Provincias
2024,18/07/2024,20/07/2024,3,"2,9","37,6",14
2024,23/07/2024,01/08/2024,10,"3,2","36,6",33
2024,04/08/2024,12/08/2024,9,"2,6","37,9",35
2023,09/07/2023,12/07/2023,4,"3,2",39,15
2023,17/07/2023,20/07/2023,4,"3,5","38,8",21
2023,06/08/2023,13/08/2023,8,"3,3","38,6",26
2023,17/08/2023,25/08/2023,9,4,"38,7",39
2022,12/06/2022,18/06/2022,7,"3,2","37,7",39
2022,09/07/2022,26/07/2022,18,"4,5","38,1",44
2022,30/07/2022,14/08/2022,16,"3,5","36,6",33
2021,21/07/2021,23/07/2021,3,2,37,16
2021,11/08/2021,16/08/2021,6,"4,1","40,2",36
2020,18/07/2020,20/07/2020,3,"1,3",36,11
2020,25/07/2020,02/08/2020,9,"3,1",37,23
2020,05/08/2020,10/08/2020,6,"2,5",37,27
2019,26/06/2019,01/07/2019,6,4,"38,8",29
2019,20/07/2019,25/07/2019,6,2,"36,8",30
2019,06/08/2019,10/08/2019,5,"3,3","37,9",11
2018,31/07/2018,07/08/2018,8,"3,1","38,6",36
2017,13/06/2017,21/06/2017,9,"2,6","37,1",30
2017,12/07/2017,16/07/2017,5,"3,9","41,1",14
2017,28/07/2017,30/07/2017,3,"1,6","37,7",12
2017,02/08/2017,06/08/2017,5,"2,9","37,7",23
2017,20/08/2017,22/08/2017,3,"2,2","37,4",11
2016,17/07/2016,19/07/2016,3,"3,5",37,20
2016,26/07/2016,28/07/2016,3,"1,3",37,13
2016,22/08/2016,25/08/2016,4,"1,8",36,12
2016,03/09/2016,07/09/2016,5,"3,3",39,29
2015,27/06/2015,22/07/2015,26,"3,4","37,6",30
2015,27/07/2015,29/07/2015,3,"2,3","38,7",10
2013,05/07/2013,09/07/2013,5,"2,4","37,7",13
2012,24/06/2012,28/06/2012,5,"2,1","38,3",25
2012,08/08/2012,11/08/2012,4,"3,7","39,5",40
2012,17/08/2012,23/08/2012,7,"2,8","36,2",30
2011,25/06/2011,27/06/2011,3,"1,6","37,8",15
2011,19/08/2011,21/08/2011,3,"2,3","37,1",19
2009,16/08/2009,20/08/2009,5,"1,8","35,9",15
2008,03/08/2008,05/08/2008,3,"1,5","36,9",17
2007,28/07/2007,31/07/2007,4,"1,9","39,4",11
2006,24/07/2006,26/07/2006,3,2,"35,3",9
2006,04/09/2006,06/09/2006,3,"2,6","36,5",15
2005,14/07/2005,17/07/2005,4,"2,3","36,8",18
2005,05/08/2005,08/08/2005,4,"2,8","38,9",19
2004,27/06/2004,29/06/2004,3,"1,4","38,4",17
2004,24/07/2004,26/07/2004,3,"2,7",40,10
2003,20/06/2003,23/06/2003,4,"2,2","36,1",17
2003,30/07/2003,14/08/2003,16,"3,7","37,2",38
2001,21/06/2001,25/06/2001,5,"1,8",36,19
1998,07/08/1998,12/08/1998,6,"2,4","35,6",26
1995,17/07/1995,24/07/1995,8,"3,3","39,1",30
1994,29/06/1994,05/07/1994,7,"2,9","38,6",22
1993,05/08/1993,07/08/1993,3,2,37,13
1993,18/08/1993,20/08/1993,3,"2,8","35,1",18
1992,27/07/1992,29/07/1992,3,"1,6","35,3",13
1992,04/08/1992,06/08/1992,3,"1,4","39,7",14
1991,12/07/1991,19/07/1991,8,"1,8",39,25
1991,03/08/1991,06/08/1991,4,"1,9","38,6",22
1991,13/08/1991,18/08/1991,6,"1,8","37,3",20
1991,25/08/1991,29/08/1991,5,"2,6","36,1",16
1990,17/07/1990,24/07/1990,8,"2,8","37,1",32
1990,02/08/1990,05/08/1990,4,"2,3","36,8",19
1989,16/07/1989,21/07/1989,6,"2,5","37,4",36
1989,30/07/1989,02/08/1989,4,"2,1",39,17
1988,05/09/1988,08/09/1988,4,"2,4","38,6",28
1987,11/08/1987,16/08/1987,6,4,"37,5",27
1987,12/09/1987,17/09/1987,6,"2,8","34,1",13
1985,22/07/1985,25/07/1985,4,"1,3","37,9",23
1984,22/07/1984,24/07/1984,3,"1,9","39,4",12
1982,05/07/1982,09/07/1982,5,"3,5","38,5",29
1981,11/06/1981,16/06/1981,6,"2,6","38,7",20
1981,28/07/1981,30/07/1981,3,"2,7",38,21
1979,27/07/1979,29/07/1979,3,"1,7","38,3",22
1978,14/07/1978,17/07/1978,4,3,"39,3",27
1976,05/08/1976,07/08/1976,3,"1,9","38,5",14
1975,13/07/1975,16/07/1975,4,"2,5","40,4",14